"S.N.","Code","Abbr","Name","City","Mount Type","Capacity (kWp)","Day Generation (kWh)","Day Yield (kWh/kWp)","Day Est. Irradiation (kWh/m²)","Performance Ratio (%)"
"1","10001","WAG2","Walmart Agra-2","Agra","rooftop","297","...","...","...","..."
"2","10002","WAS","Walmart Amritsar","Amritsar","rooftop","359","...","...","...","..."
"3","10003","WAZ","Walmart Zirakpur","Zirakpur","rooftop","353","...","...","...","..."
"4","10004","WAG1","Walmart Agra 1","Agra","rooftop","370","...","...","...","..."
"5","10005","WAK","Walmart Kota","Kota","rooftop","340","...","...","...","..."
"6","10006","WAM","Walmart Meerut","Meerut","rooftop","357","...","...","...","..."
"7","10009","WGT","Walmart Guntur","Guntur","rooftop","284","...","...","...","..."
"8","10011","WAL","Walmart Ludhiana","Ludhiana","rooftop","227","...","...","...","..."
"9","10012","WAJ","Walmart Jalandhar","Jalandhar","rooftop","302","...","...","...","..."
"10","10013","WAI","Walmart Indore","Indore","rooftop","218","...","...","...","..."
"11","10015","WBH2","Walmart Bhopal2","Bhopal","rooftop","238","...","...","...","..."
"12","10016","VLH","Vatika Lifestyles Homes","Gurgaon","rooftop","70.56","...","...","...","..."
"13","10017","VG21","Vatika G21","Gurgaon","rooftop","53.94","...","...","...","..."
"14","10018","VC","Vatika City","Gurgaon","rooftop","272","...","...","...","..."
"15","10020","FG","Fortis Gurgaon","Gurgaon","rooftop","65.5","...","...","...","..."
"16","10021","CPWD_GSI","CPWD GSI","Bhubhaneshwar","rooftop","97.5","...","...","...","..."
"17","10022","CPWD_BTLB","CPWD Bantalab","Jammu","rooftop","162","...","...","...","..."
"18","10023","CPWD_AGO","CPWD AG Office","Jammu","rooftop","91.7","...","...","...","..."
"19","10024","D3","Dominos Kolkata","Sandhipur","rooftop","202","...","...","...","..."
"20","10025","WP","Whirlpool","Pune","rooftop","998","...","...","...","..."
"21","10027","HB","Halliburton Offshore Inc - Taloja","Raigad","rooftop","202","...","...","...","..."
"22","10029","YN","Yamaha Noida","Noida","rooftop","4133","...","...","...","..."
"23","10031","SI","Showa India","Faridabad","rooftop","1302","...","...","...","..."
"24","10032","CPWD_STWR","CPWD Satwari","Jammu","rooftop","45.8","...","...","...","..."
"25","10034","DMAS1","D-Mart Solapur 1","Solapur","rooftop","214","...","...","...","..."
"26","10035","DMAS2","D-Mart Solapur 2","Solapur","rooftop","132","...","...","...","..."
"27","10036","DMAK","D-Mart Kolhapur","Kolhapur","rooftop","94.5","...","...","...","..."
"28","10037","GAC","Garg Acrylics","Ludhiana","rooftop","56.7","...","...","...","..."
"29","10038","CPWD_PT","CPWD  Pokhariput","Bhubhaneshwar","rooftop","25.5","...","...","...","..."
"30","10039","CPWD_RMNH","CPWD RMNH Bhubaneshwar","Bhubhaneshwar","rooftop","199","...","...","...","..."
"31","10040","CPWD_KP","CPWD Koraput","Koraput","rooftop","199","...","...","...","..."
"32","10041","NRRI","National Rice Research Institute","Cuttack","rooftop","239","...","...","...","..."
"33","10042","HAL","HAL Bangalore","Bangalore","ground","3846.6","...","...","...","..."
"34","10043","WAR","Walmart Raipur","Raipur","rooftop","151","...","...","...","..."
"35","10044","R4","GHR Education Foundation Society","Jalgaon","rooftop","75","...","...","...","..."
"36","10045","R5","Raisoni 5","Savkheda","rooftop","30","...","...","...","..."
"37","10046","R6","Raisoni 6","Anjangaon","rooftop","25","...","...","...","..."
"38","10047","R7","Raisoni 7","Nagpur","rooftop","18.75","...","...","...","..."
"39","10048","R8","Raisoni 8","Nagpur","rooftop","113","...","...","...","..."
